kabupaten,forecast_week,predicted_cases
KayongUtara,2024-01-02,0
KayongUtara,2024-01-09,0
KayongUtara,2024-01-16,0
KayongUtara,2024-01-23,0
Kebumen,2024-01-02,18
Kebumen,2024-01-09,0
Kebumen,2024-01-16,0
Kebumen,2024-01-23,1
Keerom,2024-01-02,0
Keerom,2024-01-09,0
Keerom,2024-01-16,0
Keerom,2024-01-23,1
Kendal,2024-01-02,0
Kendal,2024-01-09,1
Kendal,2024-01-16,1
Kendal,2024-01-23,0
Kendari,2024-01-02,0
Kendari,2024-01-09,0
Kendari,2024-01-16,0
Kendari,2024-01-23,0
Kepahiang,2024-01-02,0
Kepahiang,2024-01-09,0
Kepahiang,2024-01-16,0
Kepahiang,2024-01-23,0
KepulauanAnambas,2024-01-02,0
KepulauanAnambas,2024-01-09,0
KepulauanAnambas,2024-01-16,0
KepulauanAnambas,2024-01-23,0
KepulauanAru,2024-01-02,0
KepulauanAru,2024-01-09,0
KepulauanAru,2024-01-16,0
KepulauanAru,2024-01-23,0
KepulauanMentawai,2024-01-02,0
KepulauanMentawai,2024-01-09,0
KepulauanMentawai,2024-01-16,0
KepulauanMentawai,2024-01-23,0
KepulauanMeranti,2024-01-02,0
KepulauanMeranti,2024-01-09,0
KepulauanMeranti,2024-01-16,0
KepulauanMeranti,2024-01-23,0
KepulauanSangihe,2024-01-02,0
KepulauanSangihe,2024-01-09,0
KepulauanSangihe,2024-01-16,0
KepulauanSangihe,2024-01-23,0
KepulauanSelayar,2024-01-02,0
KepulauanSelayar,2024-01-09,0
KepulauanSelayar,2024-01-16,0
KepulauanSelayar,2024-01-23,0
KepulauanSeribu,2024-01-02,0
KepulauanSeribu,2024-01-09,0
KepulauanSeribu,2024-01-16,0
KepulauanSeribu,2024-01-23,0
KepulauanSula,2024-01-02,0
KepulauanSula,2024-01-09,0
KepulauanSula,2024-01-16,0
KepulauanSula,2024-01-23,0
KepulauanTalaud,2024-01-02,0
KepulauanTalaud,2024-01-09,0
KepulauanTalaud,2024-01-16,0
KepulauanTalaud,2024-01-23,0
KepulauanYapen,2024-01-02,0
KepulauanYapen,2024-01-09,0
KepulauanYapen,2024-01-16,0
KepulauanYapen,2024-01-23,0
Kerinci,2024-01-02,0
Kerinci,2024-01-09,0
Kerinci,2024-01-16,0
Kerinci,2024-01-23,0
Ketapang,2024-01-02,0
Ketapang,2024-01-09,0
Ketapang,2024-01-16,0
Ketapang,2024-01-23,0
Klaten,2024-01-02,0
Klaten,2024-01-09,1
Klaten,2024-01-16,2
Klaten,2024-01-23,1
Klungkung,2024-01-02,0
Klungkung,2024-01-09,2
Klungkung,2024-01-16,3
Klungkung,2024-01-23,11
Kolaka,2024-01-02,0
Kolaka,2024-01-09,0
Kolaka,2024-01-16,0
Kolaka,2024-01-23,1
KolakaUtara,2024-01-02,0
KolakaUtara,2024-01-09,0
KolakaUtara,2024-01-16,0
KolakaUtara,2024-01-23,0
Konawe,2024-01-02,0
Konawe,2024-01-09,1
Konawe,2024-01-16,0
Konawe,2024-01-23,0
KonaweSelatan,2024-01-02,0
KonaweSelatan,2024-01-09,0
KonaweSelatan,2024-01-16,1
KonaweSelatan,2024-01-23,0
KonaweUtara,2024-01-02,0
KonaweUtara,2024-01-09,0
KonaweUtara,2024-01-16,0
KonaweUtara,2024-01-23,0
KotaBandung,2024-01-02,20
KotaBandung,2024-01-09,24
KotaBandung,2024-01-16,31
KotaBandung,2024-01-23,17
KotaBaru,2024-01-02,17
KotaBaru,2024-01-09,0
KotaBaru,2024-01-16,0
KotaBaru,2024-01-23,0
KotaBekasi,2024-01-02,0
KotaBekasi,2024-01-09,6
KotaBekasi,2024-01-16,4
KotaBekasi,2024-01-23,14
KotaBima,2024-01-02,0
KotaBima,2024-01-09,0
KotaBima,2024-01-16,0
KotaBima,2024-01-23,0
KotaBinjai,2024-01-02,0
KotaBinjai,2024-01-09,0
KotaBinjai,2024-01-16,0
KotaBinjai,2024-01-23,0
KotaBogor,2024-01-02,0
KotaBogor,2024-01-09,0
KotaBogor,2024-01-16,1
KotaBogor,2024-01-23,0
KotaCirebon,2024-01-02,0
KotaCirebon,2024-01-09,0
KotaCirebon,2024-01-16,0
KotaCirebon,2024-01-23,0
KotaGorontalo,2024-01-02,7
KotaGorontalo,2024-01-09,0
KotaGorontalo,2024-01-16,0
KotaGorontalo,2024-01-23,0
KotaJayapura,2024-01-02,0
KotaJayapura,2024-01-09,1
KotaJayapura,2024-01-16,1
KotaJayapura,2024-01-23,2
KotaKediri,2024-01-02,0
KotaKediri,2024-01-09,1
KotaKediri,2024-01-16,0
KotaKediri,2024-01-23,0
KotaKupang,2024-01-02,0
KotaKupang,2024-01-09,0
KotaKupang,2024-01-16,0
KotaKupang,2024-01-23,0
KotaMadiun,2024-01-02,0
